title,price,types,land,building,bed,bath,floor,certificate,location,secondary_location,url
Rumah Mewah Bonus Furniture dekat Jalan Purbaya,Rp 2.500.000.000,Rumah,126,330,6,3,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Sumberadi, Kecamatan Mlati, Kabupaten Sleman",https://www.olx.co.id/item/rumah-modern-di-jalan-purbaya-full-furnished-iid-849772254
Rumah mewah view sawah di jakal km 11,Rp 1.726.000.000,Rumah,108,180,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jalan damai jalan kaliuran yogyakarta,https://www.olx.co.id/item/dijual-rumah-mewah-murah-di-jakal-iid-857230665
Cupuwatu - Yogyakarta,Rp 4.800.000.000,Rumah,262,400,8,7,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Perumahan puri gejayan indah blok c 19 sleman,https://www.olx.co.id/item/sleman-yogyakarta-iid-862536834
rumah cantik &amp; kos2an dekat univ aisyiah jogja,Rp 1.300.000.000,Rumah,77,150,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Griya Arga Permai Jln Godean KM 4 Dekat Tugu, Mirota Kampus , dll",https://www.olx.co.id/item/rumah-super-cantik-unik-harga-menarik-proses-bangun-sdh-30--iid-863135291
"Rumah Siap Bangun Di Grogolan Umbulmartani, Mangku Jalan Aspal Ramai",Rp 650.000.000,,106,63,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/dijual-rumah-pesan-bangun-umbulmartani-view-asri-dekat-uii-iid-867299981
Kavling Rumah Siap Bangun Murah dekat Klinik Widuri dan RSUD Sleman,Rp 429.000.000,Rumah,93,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl. Magelang Km. 13 Triharjo Sleman,https://www.olx.co.id/item/kavling-rumah-siap-bangun-terjangkau-selatan-rsud-sleman-iid-867299582
Rumah Joglo Gebyok dan Rumah Limasan Kayu Jati Ukiran,Rp 270.000.000,,77,30,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/dijual-rumah-murah-limasan-klasik-jogja-prambanan-klaten--iid-867299581
"Rumah bagus dalam Perum di Jongke,dekat Jombor, Kampus UTY",Rp 1.980.000.000,,140,158,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/rumah-dijual-kondisi-baru-dan-hook-dalam-perum-jongke-dekat-kampus-uty-iid-867299288
"DIJUAL HUNIAN SCANDINAVIAN, 300 JUTAAN DI SLEMAN, YOGYAKARTA",Rp 390.000.000,Rumah,83,40,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I.","Sanggrahan, Caturharjo, Kab. Sleman, D I Yogyakarta",https://www.olx.co.id/item/dijual-rumah-scandinavian-di-sleman-iid-867298693
MURAH !!! RUMAH DIJUAL DI PRAMBANAN,Rp 320.000.000,,72,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I.",,https://www.olx.co.id/item/booking-sekarang-dijual-rumah-murah-jogja-rumah-exclusive--iid-867296978
