title,price,land,building,bed,bath,floor,certificate,location
RUMAH BARU MODERN DALAM CLUSTER DI SLEMAN,Rp 350.000.000,112,45,2,1,,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
rumah cantik &amp; kos2an dekat univ aisyiah jogja,Rp 1.300.000.000,77,150,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Dalam Perumahan Palagan Jogja,Rp 2.500.000.000,220,241,5,4,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
DI JUAL MURAH 725 JT NEGO RUMAH BARU KEMBAR DEKAT UII TERPADU,Rp 725.000.000,126,70,2,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"BU Turun Harga ,Rumah cantik samping kampus Stiper maguwoharjo",Rp 1.300.000.000,135,110,2,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"RUMAH 2 LANTAI MURAH DLM RINGROAD, AREA FAVORIT, CLUSTER PERUM POGUNG",Rp 2.000.000.000,130,130,5,5,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah mewah dalam perum onegate di Jombor,Rp 2.200.000.000,130,130,5,5,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah baru di Jongke dalam cluster perumahan,Rp 1.890.000.000,130,130,5,5,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Kode : RSH 3219 #Rumah Bagus Murah Strategis di Dekat Pemda Sleman Yog,Rp 600.000.000,130,90,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah mewah dan halaman luas dekat Jogjabay maguwo,Rp 3.200.000.000,327,327,5,5,2,,"Mlati, Sleman Kab., Yogyakarta D.I."
Promo Rumah baru siap huni dalam perum sleman,Rp 395.000.000,110,50,3,1,0,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
Rumah baru Hook 2 muka dalam perum wirokerten Banguntapan,Rp 673.000.000,93,65,3,1,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual Tanah bonus Rumah,Rp 650.000.000,130,80,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH BARU ADA 2 UNIT DI GODEAN SLEMAN YOGYAKARTA,Rp 475.000.000,99,80,3,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
,Rp 2.214.520.000,170,124,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Kode : RSH 3241 #Rumah Cantik Mewah 2 Lantai Dalam Perum Villa Pondok,Rp 1.800.000.000,157,152,4,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Siap KPR, Rumah Bergaya Eropa Dekat Prambanan",Rp 327.000.000,70,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Dijual rumah baru siap huni
Lokasi di pangukan Dekat  pemda Sleman",Rp 595.000.000,98,50,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
