,title,price,land,building,bed,bath,floor,certificate,location
0,Dijual Rumah Baru Menarik Bonus Furniture Dekat Kampus UII Terpadu,Rp 685.000.023,186,258,7,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
1,"Rumah Mewah + 4 Ruko Dkt UGM, UNY, UKDW, SADHAR",Rp 50.000.000.000,1119,1119,8,6,2,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
2,Dalam perumahan jln kapten Haryadi palagan sleman,Rp 895.000.000,181,80,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
3,"RUMAH SIAP HUNI DI SRIBITAN BANGUNJIWO, JALAN TUGU GENTONG",Rp 439.123.456,71,40,2,1,1,HGB - Hak Guna Bangun,"Kasihan, Bantul Kab., Yogyakarta D.I."
4,"DIJUAL Rumah &amp; Toko Strategis di pinggir Jl. Kabupaten, Sleman, Jogja",Rp 12.500.000.000,900,900,6,6,2,SHM - Sertifikat Hak Milik,"Tegalrejo, Yogyakarta Kota, Yogyakarta D.I."
5,RUMAH SIAP HUNI LOKASI STRATEGIS DEKAT RINGROAD &amp; KAMPUS UMY. JK10464,Rp 850.000.004,121,75,3,1,2,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I."
6,RUMAH KOST DEKAT KAMPUS SADHAR&amp;ATMAJAYA MAGUWOHARJO,Rp 5.000.000.000,996,1000,&gt;10,&gt;10,2,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
7,Rumah Cantik dan Murah di Purwomartani dekat Pamela 7,Rp 600.000.000,104,80,3,2,1,HGB - Hak Guna Bangun,"Kalasan, Sleman Kab., Yogyakarta D.I."
8,Rumah Mewah Dalam Perumahan Palagan Asri,Rp 4.250.000.000,245,280,5,4,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
9,Rumah luas area nitikan umbulharjo cocok untuk hunian,Rp 1.700.000.000,202,180,4,2,1,SHM - Sertifikat Hak Milik,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
10,Miliki Hunian Konsep Heritage di Lingkungan Asri Timur Jogja 200 Jt-an,Rp 250.000.045,85,30,2,1,1,SHM - Sertifikat Hak Milik,"Prambanan, Sleman Kab., Yogyakarta D.I."
11,Jual Hunian Megah 2 Lantai Di Sleman Legalitas SHM Siap KPR,Rp 1.500.000.055,150,160,3,4,2,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
