title,price,types,land,building,bed,bath,floor,certificate,location,secondary_location,url,landprice,loc,point,lat,lon,regency
Kavling Rumah Siap Bangun Murah dekat Klinik Widuri dan RSUD Sleman,429000000,Rumah,93,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl. Magelang Km. 13 Triharjo Sleman,https://www.olx.co.id/item/kavling-rumah-siap-bangun-terjangkau-selatan-rsud-sleman-iid-867299582,4612903,"Sleman, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.689595199999999, 110.3449703, 0.0)",-7.689595199999999,110.3449703,Sleman Regency
"DIJUAL HUNIAN SCANDINAVIAN, 300 JUTAAN DI SLEMAN, YOGYAKARTA",390000000,Rumah,83,40,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I.","Sanggrahan, Caturharjo, Kab. Sleman, D I Yogyakarta",https://www.olx.co.id/item/dijual-rumah-scandinavian-di-sleman-iid-867298693,4698795,"Sleman, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.689595199999999, 110.3449703, 0.0)",-7.689595199999999,110.3449703,Sleman Regency
RUMAH DI JALAN GODEAN TIRTOADI MLATI DALAM CLUSTER DEKAT KAMPUS UNISA,697000000,Rumah,104,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl Sidomoyo Mlati Sleman, WA 081392899090. WEB propertijogja.info",https://www.olx.co.id/item/rumah-minimalis-dalam-cluster-di-belakang-kampus-unisa-iid-867290232,6701923,"Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
rumah dijual dekat lapangan warak jalan purbaya cebongan mlati sleman,685125000,Rumah,118,58,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",jalan purbaya warak sumberadi mlati sleman,https://www.olx.co.id/item/rumah-etnik-jawa-jalan-purbaya-warak-utara-pasar-cebongan-mlati-iid-867290024,5806144,"Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
Pesona Annora Tirtoadi Sleman,649000000,Rumah,139,68,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl SIdomoyo. WA 081392899090. WEB : propertijogja.info,https://www.olx.co.id/item/rumah-jogja-minimalis-dijual-di-tirtoadi-mlati-sleman-iid-867289564,4669064,"Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
Cluster Perumahan Pesona Annora Tirtoadi Mlati Sleman,457000000,Rumah,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl. Ring Road Barat Mlati Sleman Yogyakarta,https://www.olx.co.id/item/pesona-annora-tirtoadi-mlati-barat-west-lake-resort-jogja-iid-867287824,5021978,"Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
Rumah Tanpa Riba di Jogja Bisa request desain rumah,675000000,Rumah,114,45,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Berbah,https://www.olx.co.id/item/rumah-dijual-gaya-scandinavian-modern-di-berbah-iid-867284034,5921052,"Sleman, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.689595199999999, 110.3449703, 0.0)",-7.689595199999999,110.3449703,Sleman Regency
"Griya Tirta Hutama 3, Dekat SDN Jemblangan, 400jt-an Saja",445000000,Rumah,100,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Tirtoadi, Mlati, Sleman",https://www.olx.co.id/item/harga-ekonomis-tanah-strategis-dekat-sd-n-jemblangan-iid-867280510,4450000,"Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
Rumah The Paradise Monjali Palagan Perumahan Elite Sekelas Green Hills,2700000000,Rumah,144,144,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jalan Palagan Tentara Pelajar 7,8 Telp 081 229 797 000",https://www.olx.co.id/item/rumah-perum-the-paradise-monjali-jalan-palagan-sekelas-green-hills-iid-860841093,18750000,"Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
Rumah Bale Agung Perumahan Elite Dan Mewah Sekelas Casa Grande,6500000000,Rumah,463,750,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan Kaliurang Km 6 Sleman,https://www.olx.co.id/item/rumah-dekat-ugm-perumbale-agung-residence-bale-hinggil-casa-grande-iid-864702808,14038876,"Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
