title,price,land,building,bed,bath,floor,certificate,location,landprice,loc,point,lat,lon,regency
Dijual Rumah Baru Menarik Bonus Furniture Dekat Kampus UII Terpadu,685000023,186,258,7,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",3682795,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
Rumah Cantik dan Murah di Purwomartani dekat Pamela 7,600000000,104,80,3,2,1,HGB - Hak Guna Bangun,"Kalasan, Sleman Kab., Yogyakarta D.I.",5769230,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7295892, 110.4512091, 0.0)",-7.7295892,110.4512091,Sleman Regency
Rumah Mewah Dalam Perumahan Palagan Asri,4250000000,245,280,5,4,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",17346938,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
Jual Hunian Megah 2 Lantai Di Sleman Legalitas SHM Siap KPR,1500000055,150,160,3,4,2,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I.",10000000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.701154699999999, 110.4472796, 0.0)",-7.701154699999999,110.4472796,Sleman Regency
Rumah mewah full furnish view gunung merapi timur pasar gentan,1595000000,512,250,6,4,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",3115234,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
RUMAH 2 LANTAI MEWAH MODERN STRATEGIS DEKAT JOGJA BAY SLEMAN YOGYA,2850000000,326,327,5,4,3,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I.",8742331,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.701154699999999, 110.4472796, 0.0)",-7.701154699999999,110.4472796,Sleman Regency
"Dijual rumah di Berbah, strategis pinggir jalan utama",1600000000,306,200,5,5,1,SHM - Sertifikat Hak Milik,"Berbah, Sleman Kab., Yogyakarta D.I.",5228758,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.804583999999999, 110.443604, 0.0)",-7.804583999999999,110.443604,Sleman Regency
Rumah besar furnish area Palagan,3700000000,214,255,4,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I.",17289719,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401,Sleman Regency
"Dijual Gedung Ex Sekolah VVIP jl kaliurang km 13,5 dkt UII Lt 3356m2",20000000000,4500,1100,7,7,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",4444444,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
RUMAH KOST DIJUAL DEKAT UGM,3100000000,206,240,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",15048543,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
"Perumahan onegate Kaliurang Dekat UGM,UII,UNY,RSAUGM",788000000,150,45,2,1,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",5253333,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
