title,price,land,building,bed,bath,floor,certificate,location
Dijual Rumah Baru Menarik Bonus Furniture Dekat Kampus UII Terpadu,685000023,186,258,7,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Cantik dan Murah di Purwomartani dekat Pamela 7,600000000,104,80,3,2,1,HGB - Hak Guna Bangun,"Kalasan, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Dalam Perumahan Palagan Asri,4250000000,245,280,5,4,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Jual Hunian Megah 2 Lantai Di Sleman Legalitas SHM Siap KPR,1500000055,150,160,3,4,2,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Rumah mewah full furnish view gunung merapi timur pasar gentan,1595000000,512,250,6,4,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
RUMAH 2 LANTAI MEWAH MODERN STRATEGIS DEKAT JOGJA BAY SLEMAN YOGYA,2850000000,326,327,5,4,3,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
"Dijual rumah di Berbah, strategis pinggir jalan utama",1600000000,306,200,5,5,1,SHM - Sertifikat Hak Milik,"Berbah, Sleman Kab., Yogyakarta D.I."
Rumah besar furnish area Palagan,3700000000,214,255,4,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
"Dijual Gedung Ex Sekolah VVIP jl kaliurang km 13,5 dkt UII Lt 3356m2",20000000000,4500,1100,7,7,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
RUMAH KOST DIJUAL DEKAT UGM,3100000000,206,240,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"Perumahan onegate Kaliurang Dekat UGM,UII,UNY,RSAUGM",788000000,150,45,2,1,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah etnik mewah joglo kolam renang maguwoharjo view cantik,7500000000,1200,600,4,4,1,HGB - Hak Guna Bangun,"Depok, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Elegan Siap Huni Dekat RIngin Purwomartani Kalasan,625000004,115,80,3,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
rumah guesthouse 8 kamar full furnished dekat sd Budi mulia jl tajem,1500000000,266,125,3,2,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
"Rumah asri dengan tanah luas di Tajem, dekat jalan raya Selomartani",2500000000,765,250,5,3,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
DIJUAL RUMAH NO.B7 PERUMAHAN TELAGA JATI ASRI,330000000,88,45,2,1,1,HGB - Hak Guna Bangun,"Wonosari, Gunung Kidul Kab., Yogyakarta D.I."
Rumah Dijual Perumahan Lempongsari dkt Hotel Hyatt Jl. Palagan &amp; UGM,2000000000,172,160,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
"Dijual 1 Unit Rumah Siap Bangun di Godean, Type 45/101 Rp 525 juta",525000306,101,45,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
"Full Furnish, Rumah Siap Tempati Type 80/140 m2 Siap KPR Di Sleman",700000316,140,110,4,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
"Rumah Dijogja, Sleman Rumah dua Lantai, dekat Jl Gito Gati, SCH",1800000000,150,200,4,4,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Tanah Murah Sleman 118 m2 Standar Perumahan,117000000,76,76,1,1,1,SHM - Sertifikat Hak Milik,"Minggir, Sleman Kab., Yogyakarta D.I."
Jual Rumah Kavling Bisa KPR di Sidokarto Godean,450000011,70,45,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
Rumah Baru Jalan Kaliurang Dekat Uii,750000000,126,70,2,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Apik dekat Kampus UII Jalan Kaliurang,875000000,117,80,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Langka Luas Murah Jual Cepat Rumah dlm Perumahan Elite Green Hills,3100000000,271,150,3,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Siap Huni Di jl Imogiri barat km 8,460000000,85,45,2,1,1,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I."
rumah siap huni jl Godean km 10 ke Utara dekat RS at turots,460000005,101,70,3,2,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
