title,price,types,land,building,bed,bath,floor,certificate,location,secondary_location,url
Kavling Rumah Siap Bangun Murah dekat Klinik Widuri dan RSUD Sleman,429000000,Rumah,93,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl. Magelang Km. 13 Triharjo Sleman,https://www.olx.co.id/item/kavling-rumah-siap-bangun-terjangkau-selatan-rsud-sleman-iid-867299582
"DIJUAL HUNIAN SCANDINAVIAN, 300 JUTAAN DI SLEMAN, YOGYAKARTA",390000000,Rumah,83,40,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I.","Sanggrahan, Caturharjo, Kab. Sleman, D I Yogyakarta",https://www.olx.co.id/item/dijual-rumah-scandinavian-di-sleman-iid-867298693
RUMAH DI JALAN GODEAN TIRTOADI MLATI DALAM CLUSTER DEKAT KAMPUS UNISA,697000000,Rumah,104,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl Sidomoyo Mlati Sleman, WA 081392899090. WEB propertijogja.info",https://www.olx.co.id/item/rumah-minimalis-dalam-cluster-di-belakang-kampus-unisa-iid-867290232
rumah dijual dekat lapangan warak jalan purbaya cebongan mlati sleman,685125000,Rumah,118,58,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",jalan purbaya warak sumberadi mlati sleman,https://www.olx.co.id/item/rumah-etnik-jawa-jalan-purbaya-warak-utara-pasar-cebongan-mlati-iid-867290024
Pesona Annora Tirtoadi Sleman,649000000,Rumah,139,68,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl SIdomoyo. WA 081392899090. WEB : propertijogja.info,https://www.olx.co.id/item/rumah-jogja-minimalis-dijual-di-tirtoadi-mlati-sleman-iid-867289564
Cluster Perumahan Pesona Annora Tirtoadi Mlati Sleman,457000000,Rumah,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jl. Ring Road Barat Mlati Sleman Yogyakarta,https://www.olx.co.id/item/pesona-annora-tirtoadi-mlati-barat-west-lake-resort-jogja-iid-867287824
Rumah Tanpa Riba di Jogja Bisa request desain rumah,675000000,Rumah,114,45,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Berbah,https://www.olx.co.id/item/rumah-dijual-gaya-scandinavian-modern-di-berbah-iid-867284034
"Griya Tirta Hutama 3, Dekat SDN Jemblangan, 400jt-an Saja",445000000,Rumah,100,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Tirtoadi, Mlati, Sleman",https://www.olx.co.id/item/harga-ekonomis-tanah-strategis-dekat-sd-n-jemblangan-iid-867280510
Rumah The Paradise Monjali Palagan Perumahan Elite Sekelas Green Hills,2700000000,Rumah,144,144,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jalan Palagan Tentara Pelajar 7,8 Telp 081 229 797 000",https://www.olx.co.id/item/rumah-perum-the-paradise-monjali-jalan-palagan-sekelas-green-hills-iid-860841093
Rumah Bale Agung Perumahan Elite Dan Mewah Sekelas Casa Grande,6500000000,Rumah,463,750,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan Kaliurang Km 6 Sleman,https://www.olx.co.id/item/rumah-dekat-ugm-perumbale-agung-residence-bale-hinggil-casa-grande-iid-864702808
"Griya Tirta Hutama 3 Mulai 400an juta, Lok. Mlati",437000000,Rumah,88,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/rumah-kavling-griya-tirta-hutama-3-sleman-kota-type-36-harga-murah-iid-867277818
Rumah di Sleman Design Scandinavian,398920500,Rumah,81,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",5 menit menuju RSU Mitra Sehat,https://www.olx.co.id/item/rumah-scandinavian-jogja-barat-unit-terbatas-iid-859875288
Rumah 2 Lantai dlm Perumahan Griya Taman Asri dkt SCH dan Pemda Sleman,990000000,Rumah,100,140,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jalan gito gati Sleman,https://www.olx.co.id/item/rumah-baru-2-lantai-modern-di-dekat-sch-mall-sleman-iid-867269883
"100 meter ke RS Atturots, Rumah Siap Huni Seyegan Hanya 500jt-an",525000011,Rumah,87,36,2,1,1,"Pundong I, Tirtoadi, Mlati","Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati",https://www.olx.co.id/item/area-seyegan-tanah-kosong-siap-bangun-dibawah-500jt-iid-867266858
[PROMO] 1 Unit Tanah dan Bangunan di Kavling Sedogan,286263000,Rumah,73,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jalan Murangan Triharjo Sleman Yogyakarta,https://www.olx.co.id/item/rumah-kavling-di-sidomoyo-utara-rs-ugm-jl-agrowisata-iid-867265702
Grenn Residence Caturharjo termurah dikelasnya,387600000,Rumah,83,40,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jalan Cemoro Caturharjo Sleman Yogyakarta,https://www.olx.co.id/item/jual-murah-rumah-300jt-an-di-green-residance-caturharjo-iid-867265451
DIJUAL RUMAH 2LT DEKAT HOTEL HYATT LOKASI TEPI JALAN PALAGAN,2800000000,Rumah,90,250,2,1,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Kutu Dukuh, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta",https://www.olx.co.id/item/dijual-ruko-3-lantai-tepi-jalan-raya-monjali-iid-867264311
Hunian Dalam Cluster,2300008900,Rumah,125,139,3,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Tentara Pelajar Ngaglik Sleman Yogyakarta Anton 08157657979,https://www.olx.co.id/item/hunian-pastika-palagan-2-dgn-2lt3kt-dkt-kampus-ugm-hyarta-residence-iid-852006639
Rumah modern gaya Eropa Greenland Persada,300000000,Rumah,63,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Jl. Tangkisan, Tangkisang Pos, Jogonalan",https://www.olx.co.id/item/konsep-scandinavian-rumah-siap-bangun-di-prambanan-300-juta-an-iid-867261005
RUMAH SIAP BANGUN DEKAT PEMDA DAN PASAR SLEMAN,540000000,Rumah,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Dekat Pemda Sleman,https://www.olx.co.id/item/rumah-baru-siap-huni-dekat-pemda-sleman-mlati-iid-851643284
Cluster Rumah Baru Di Sleman Barat,335000000,Rumah,105,36,2,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I.",Seyegan Sleman,https://www.olx.co.id/item/rumah-baru-promo-seyegan-sleman-iid-859912325
Rumah Mewah Full Furnished Perumahan Lavender Belakang Hyatt Palagan,2800000000,Rumah,198,146,5,5,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jongke, Sendangadi, Sleman",https://www.olx.co.id/item/rumah-bonus-furniture-dalam-perumahan-dekat-hyatt-palagan-iid-843877583
Rumah Bonus Furniture di Perumahan Elite Grand Mlati,1450000000,Rumah,143,105,3,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Grand Mlati, Sendangadi, Sleman",https://www.olx.co.id/item/rumah-modern-minimalis-di-perumahan-elite-grand-mlati-iid-834522083
"Rumah siap bangun di mlati sleman, hanya 200mt dari ring road jombor",491526000,Rumah,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl Godean Km 8 Sidokarto Godean Sleman Yogyakarta,https://www.olx.co.id/item/rumah-muah-modern-dekat-ring-road-barat-iid-867257617
"Kost Eksklusif 14 KT kos dekat UGM,UTY, Tugu Jogja, JCM,Jl Magelang",2700000007,Rumah,323,400,7,9,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jalan Magelang 5,5 Sinduadi Mlati Sleman (Mas Kelik 081229797000)",https://www.olx.co.id/item/dijual-murah-kost-exclusive-homestay-dekat-jcm-tvri-jl-magelang-55-iid-785752861
RUMAH MEWAH DALAM PERUM NANDAN MLATI SLEMAN,2800000000,Rumah,269,235,5,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan Monjali Sleman (aff),https://www.olx.co.id/item/dijual-rumah-mewah-dekat-ugm-perum-nandan-griya-idaman-iid-813447451
Rumah mewah dalam perumahan mlati sleman,3700000000,Rumah,215,132,5,5,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Dalam Perum paradise area Mlati Sleman Yogyakarta,https://www.olx.co.id/item/rumah-mewah-full-furnished-dalam-perum-paradise-area-mlati-sleman-iid-867246618
Rumah Murah Dekat Polres Sleman Yogyakarta,575000000,Rumah,100,55,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Dekat Polres Sleman Yogyakarta,https://www.olx.co.id/item/rumah-baru-siap-huni-dekat-polres-sleman-dijual-murah-iid-867246347
Murah Rumah Siap Bangun Lingkungan Asri dekat Sungai,567990000,Rumah,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Perumahan kadisoko,https://www.olx.co.id/item/rumah-bagus-dlm-perumahan-kadisoko-iid-859803407
Kode : RSH 3267 #Rumah Cantik Murah Siap Huni di Ngaglik Sleman Yogyak,625000000,Rumah,90,75,3,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Nglempongsari ngaglik sariharjo sleman,https://www.olx.co.id/item/dijual-rumah-di-nglempongsari-ngaglik-sleman-iid-859803620
"LT238/LB180 Dalam Ringroad Dekat UGM,RS.Sarjito,Hotel Tentrem,Pogung",1500000000,Rumah,239,159,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Pogung Dalam Ringroad Dekat UGM (Telpon/WA: 0819-0404-5055  instagram: @propertymart_jogja) SyHAgr,https://www.olx.co.id/item/tanah-bonus-bangunan-dalam-ringroad-pogung-dekat-ugm-rssarjito-iid-867244639
"Hunian pinggir jalan, diskon hingga 20 jt",335555000,Rumah,103,50,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Bangunjiwo kasihan bantul,https://www.olx.co.id/item/rumah-minimalis-plus-furnish-di-bangunjiwo-kasihan-bantul-iid-867238968
Rumah baru di jln godean km 6.7 dkt ke ringroad barat demak ijo,640000000,Rumah,102,65,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jln godean km 7,https://www.olx.co.id/item/rumah-baru-proses-bgn-di-jln-godean-km-7-iid-867231579
"Rumah Mewah Strategis Jakal Km 10 ,5",2195000000,Rumah,353,110,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jl. Kaliurang Km 9 Yogyakarta,https://www.olx.co.id/item/rumah-mewah-include-private-pool-dekat-tengkleng-gajah-jakal-km-9-iid-867230407
Rumah Baru Lingkungan Cluster Minimalis dkt Pemda Sleman Yogyakarta,700000000,Rumah,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jln purbaya sumberasi mlati Sleman Yogyakarta,https://www.olx.co.id/item/rumah-minimalis-cantik-unit-terakhir-dkt-pemda-sleman-yogyakarta-iid-867223316
Rumah Mewah Strategis di JAKAL,1515000000,Rumah,139,95,3,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Jalan Kaliurang Km 9,5 Ngaglik, Sleman, DIY",https://www.olx.co.id/item/rumah-mewah-include-private-pool-barat-pasar-gentan-jogja-iid-867214437
Rumah cantik full furnsih dekat Pemda Sleman,699000000,Rumah,125,77,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jomblang, Sendangadi, Mlati, Sleman Regency, Special Region of Yogyakarta",https://www.olx.co.id/item/rumah-cantik-bersih-3-kamar-dekat-pemda-sleman-jl-magelang-iid-867207548
Di Bawah 1 Milyar Dapat Rumah 2 Lantai Elegan Dekat Masjid Suciati,985000050,Rumah,115,100,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Jl. Damai, Jaran, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",https://www.olx.co.id/item/hunian-mewah-dan-bersih-2-lantai-dibawah-1-m-dekat-masjid-suciati-iid-867207200
"Rumah di Jogja, Ngaglik Sleman, Rumah 2 lantai Hook, Jakal Km 8,5",1600000000,Rumah,300,160,4,5,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Gentan jakal km 11,https://www.olx.co.id/item/rumah-mewah-view-sawah-di-jakal-km-11-iid-867203640
Dijual Cepat Rumah Modern dalam Perumahan Ekslusif,1250000000,Rumah,370,300,5,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Sleman,https://www.olx.co.id/item/dijual-cepat-rumah-bagus-iid-851917814
Di jual murah rmh mewah 2lantai jakal km 10,1700000000,Rumah,125,95,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Jl. Jetis, Bulusari, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",https://www.olx.co.id/item/rumah-mewah-strategis-di-jakal-iid-867198166
Rumah mewah Minimalis Murah di dekat Polsek Seyegan Sleman,450000000,Rumah,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/miliki-rumah-dengan-desain-mewah-pilihan-tersendiri-iid-867197290
"Dekat SPBU Cebongan, Hunian Ideal, Lingkungan Padat Penduduk, Mlati",493000000,Rumah,101,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman",https://www.olx.co.id/item/1-lantai-luasan-lebar-padat-penduduk-legal-shm-ada-carport-iid-867193652
Ada Rumah Murah 300 Jutaan Di Seyegan Sleman?,385000086,Rumah,84,60,3,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I.","Klangkapan II, Margoluwih, Seyegan, Sleman Regency, Special Region of Yogyakarta 55561",https://www.olx.co.id/item/jual-murah-rumah-siap-huni-300-jutaan-di-godean-dekat-lapangan-seyegan-iid-867192659
"Griya Tirta Hutama 3 Mulai 400an juta, Lok. Mlati",437000000,Rumah,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/baru-gresss-rumah-minimalis-griya-tirta-hutama-mlati-iid-867192598
Rumah Nyaman dan Lega Harga 400 Jutaan di Seyegan,425000022,Rumah,99,80,3,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I.","Klangkapan II, Margoluwih, Seyegan, Sleman Regency, Special Region of Yogyakarta 55561",https://www.olx.co.id/item/rumah-luas-80-m2-hanya-400-jutaan-di-godean-ada-carport-iid-867192239
"Dijual Rumah Mewah Taman Palagan Asri Dekat Hyatt, Al Azhar, Paradise",4000000000,Rumah,215,132,5,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan palagan km 8,https://www.olx.co.id/item/dijual-rumah-mewah-djalan-palagan-km8-iid-867189092
Rumah Murah Cantik Modern dekat Pemda Sleman,675000789,Rumah,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Sumberadi Mlati Sleman Yogyakarta,https://www.olx.co.id/item/rumah-keren-modern-dekat-pemda-sleman-iid-867183172
Griya Mlati Indah - Rumah Mewah Tepi Jalan Magelang,1490000000,Rumah,101,110,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Mlati Glondong, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/griya-mlati-indahrumah-proses-bangun-daerah-mlati-iid-867181417
"Kavling Luasan 122m, Selatan Kampus Mercubuana",158600000,Rumah,38,33,2,1,1,HGB - Hak Guna Bangun,"Seyegan, Sleman Kab., Yogyakarta D.I.",Jln kaliurang km 11 - kec. Ngaglik Kab. Sleman - Prov. Diy,https://www.olx.co.id/item/hunian-ini-layak-anda-pilih-harga-lokasi-dan-fasilitas-oke-iid-859667715
