location,loc,point,lat,lon
"Ngaglik, Sleman Kab., Yogyakarta D.I.","Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792
"Kalasan, Sleman Kab., Yogyakarta D.I.","Kalasan, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7295892, 110.4512091, 0.0)",-7.7295892,110.4512091
"Ngemplak, Sleman Kab., Yogyakarta D.I.","Ngemplak, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.701154699999999, 110.4472796, 0.0)",-7.701154699999999,110.4472796
"Berbah, Sleman Kab., Yogyakarta D.I.","Berbah, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.804583999999999, 110.443604, 0.0)",-7.804583999999999,110.443604
"Mlati, Sleman Kab., Yogyakarta D.I.","Mlati, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7612783, 110.3618401, 0.0)",-7.7612783,110.3618401
"Depok, Sleman Kab., Yogyakarta D.I.","Depok, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7617436, 110.4120154, 0.0)",-7.7617436,110.4120154
"Wonosari, Gunung Kidul Kab., Yogyakarta D.I.","Wonosari, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-7.9655412, 110.6008827, 0.0)",-7.9655412,110.6008827
"Godean, Sleman Kab., Yogyakarta D.I.","Godean, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.767382, 110.2931036, 0.0)",-7.767382,110.2931036
"Sleman, Sleman Kab., Yogyakarta D.I.","Sleman, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.689595199999999, 110.3449703, 0.0)",-7.689595199999999,110.3449703
"Minggir, Sleman Kab., Yogyakarta D.I.","Minggir, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7149815, 110.2581334, 0.0)",-7.7149815,110.2581334
"Sewon, Bantul Kab., Yogyakarta D.I.","Sewon, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196
"Seyegan, Sleman Kab., Yogyakarta D.I.","Seyegan, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.719952099999999, 110.3035665, 0.0)",-7.719952099999999,110.3035665
"Bantul, Bantul Kab., Yogyakarta D.I.","Bantul, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.8748176, 110.3255365, 0.0)",-7.8748176,110.3255365
"Jetis, Bantul Kab., Yogyakarta D.I.","Jetis, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.913659999999999, 110.3728136, 0.0)",-7.913659999999999,110.3728136
"Tempel, Sleman Kab., Yogyakarta D.I.","Tempel, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.658262999999999, 110.3267439, 0.0)",-7.658262999999999,110.3267439
"Banguntapan, Bantul Kab., Yogyakarta D.I.","Banguntapan, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.811851099999999, 110.4091104, 0.0)",-7.811851099999999,110.4091104
"Gamping, Sleman Kab., Yogyakarta D.I.","Gamping, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7970947, 110.3250246, 0.0)",-7.7970947,110.3250246
